ID,Name,Relationship,Model,IsActive,CrossFilteringBehavior,RelyOnReferentialIntegrity,FromTable,FromColumn,FromCardinality,ToTable,ToColumn,ToCardinality,State,SecurityFilteringBehavior
769,dcf330b9-c35c-36e0-e34b-bdc8d8e8d84b,'fact_shipment_risk'[carrier_id] *[<-]1 'dim_carrier_performance'[carrier_id],6abfcc04-62db-4216-97dd-f643dbd7a341,true,OneDirection,false,fact_shipment_risk,carrier_id,Many,dim_carrier_performance,carrier_id,One,Ready,Single
777,9c2dd5bc-7e4c-7557-efe4-92e47f9b6a62,'fact_shipment_risk'[origin_warehouse_id] *[<-]1 'dim_warehouse_performance'[origin_warehouse_id],6abfcc04-62db-4216-97dd-f643dbd7a341,true,OneDirection,false,fact_shipment_risk,origin_warehouse_id,Many,dim_warehouse_performance,origin_warehouse_id,One,Ready,Single
784,2e8f4dcd-3feb-5c4e-b75a-00eb5cfb8abd,'fact_temperature_incidents'[shipment_id] *[<-]1 'fact_shipment_risk'[shipment_id],6abfcc04-62db-4216-97dd-f643dbd7a341,true,OneDirection,false,fact_temperature_incidents,shipment_id,Many,fact_shipment_risk,shipment_id,One,Ready,Single
